차 | 茶, 車 | tea;<div>car</div>
돗자리 |  | mat
진리 | 眞理 | truth
언뜻 |  | in an instant, in a flash;<div>by chance, by accident</div>
애칭 | 愛稱 | nickname, pet name
처제 | 妻弟 | younger sister of one's wife
효율적 | 效率的 | efficient
최강 | 最强 | the strongest
전략 | 戰略 | strategy, tactic
얽히다 |  | to be tangled, involved
일화 | 逸話 | anecdote
품절되다 | 品切 | to be out of stock
주장 | 主張, 主將 | insistence, assertion;<div>captain, leader</div>
빡빡하다 |  | to be tight, rigid, inflexible
아군 | 我軍 | our forces, ally
날카롭다 |  | to be sharp, pointed
지령 | 指令 | order, instruction, directive
감탄하다 | 感歎 | to admire, be in awe
모욕하다 | 侮辱 | to insult
습기 | 濕氣 | moisture, humidity
소나기 |  | shower
겉 |  | the outside, surface
소질 | 素質 | aptitude, talent
사례 | 事例, 謝禮 | case, instance, example;<div>reward, compensation</div>
추천서 | 推薦書 | letter of recommendation
걸레 |  | rag, mop;<div>slut</div>
믿음직하다 |  | to be reliable, dependable
널다 |  | to hang
유학생 | 留學生 | foreign student
추리하다 | 推理 | to deduce, reason
정성껏 | 精誠- | with one's utmost sincerity or whole heart
저축하다 | 貯蓄 | to save up, deposit
북경 | 北京 | Beijing
홀수 | ―數 | odd number
생수 | 生水 | mineral water
갈매기 |  | seagull
보따리 | 褓- | bundle
최상 | 最上 | the best, the highest
인원 | 人員 | number of people
메뚜기 |  | grasshopper
지배하다 | 支配 | to rule, control, dominate
예리하다 | 銳利 | to be sharp, keen
인질 | 人質 | hostage
유쾌하다 | 愉快 | to be cheerful, pleasant
꿈속 |  | inside a dream
필기하다 | 筆記 | to take notes
구별하다 | 區別 | to distinguish, differentiate
조개 |  | clam
기색 | 氣色 | look, expression, sign
연합 | 聯合 | alliance, coalition
바가지 |  | dipper;<div>rip-off</div>
식히다 |  | to cool, make/let something cool
감동적 | 感動的 | moving, touching, impressive
쫓기다 |  | to be chased
법정 | 法廷 | court of law
배즙 |  | pear juice
만점 | 滿點 | perfect score
지리 | 地理 | geography
이해심 | 理解心 | understanding, empathy
봐주다 |  | to let someone off, let something slide, overlook
무전기 | 無電機 | walkie-talkie, radio
내성적 | 內省的 | introverted, reserved
자신감 | 自信感 | confidence
단원 | 單元, 團員 | unit;<div>member</div>
덤벙거리다 |  | to be careless
둔감하다 | 鈍感 | to be insensitive, obtuse, impervious
엉성하다 |  | to be poor, loose
확률 | 確率 | probability, chance
주꾸미 |  | short arm octopus
진로 | 進路 | course, direction, path
설계하다 | 設計 | to design, map out, plan
지난번 | --番 | last time, the other day
지난날 |  | days gone by, the past
휴가철 | 休暇- | vacation season
저런 |  | such, like that
수료하다 | 修了 | to complete, finish (a course)
장구 |  | Korean double-headed drum
작별 | 作別 | farewell, parting
출전하다 | 出戰 | to participate, compete
경제적 | 經濟的 | financial, economic
담당하다 | 擔當 | to undertake, be in charge
벗기다 |  | to take off, undress, peel
불빛 |  | light, glow
미련 | 未練 | lingering attachment
해석하다 | 解釋 | to interpret
우편물 | 郵便物 | mail
정비사 | 整備士 | mechanic
출국하다 | 出國 | to leave the country
취업하다 | 就業 | to get a job
창업하다 | 創業 | to establish, start, found (a business)
자영업 | 自營業 | one's own business, self-employment
박람회 | 博覽會 | exhibition, exposition
유망하다 | 有望 | to be promising
포털 |  | portal
마음가짐 |  | mental attitude
설문 | 說問 | question (on a questionnaire)
후텁지근하다 |  | to be sultry, humid
건기 | 乾期 | dry season
뚝 |  | with a snap;<div>suddenly</div>
새싹 |  | sprout, bud
싹 |  | completely, entirely;<div>bud, sprout</div>
초원 | 草原 | grassland, meadow
나들이 |  | trip, going out
돌풍 | 突風 | gust of wind
벼락 |  | lightning
밤사이 |  | nighttime
유한하다 | 有限 | to be finite, limited
아이돌 |  | K-pop band member (young, good-looking, famous)
경쾌하다 | 輕快 | to be cheerful, rhythmical
공식적 | 公式的 | official, formal
헤매다 |  | to wander about, walk around
개최하다 | 開催 | to hold, host
등록금 | 登錄金 | tuition
수강 | 受講 | taking a course
끼우다 |  | to put between, insert
송금하다 | 送金 | to remit, send money
집세 | ―貰 | rent
선불 | 先拂 | payment in advance
신입생 | 新入生 | freshman
납부하다 | 納付 | to pay
외동딸 |  | only daughter and only child
창립 | 創立 | establishment, foundation
푸짐하다 |  | to be generous, plentiful
어버이 |  | parents
개교하다 | 開校 | to open a school
카네이션 |  | carnation
축의금 | 祝儀金 | monetary gift
화환 | 花環 | wreath
게양하다 | 揭揚 | to hoist, raise
간편하다 | 簡便 | to be convenient, easy
무지개 |  | rainbow
탑승하다 | 搭乘 | to board
종종 | 種種 | sometimes, now and then, often
한동안 |  | for a while, for quite a while
해마다 |  | every year
국회의원 | 國會議員 | member of national assembly
터뜨리다 |  | to pop, burst, set off
반품하다 | 返品 | to return
평 | 評 | review, comment
여가 | 餘暇 | leisure, spare time
계발하다 | 啓發 | to develop
복어 | ―漁 | blowfish
재충전하다 | 再充電 | to recharge
활력 | 活力 | energy, vitality
연령 | 年齡 | age
비율 | 比率 | ratio, proportion
때우다 |  | to fill, patch up;<div>to solder</div>
처지다 |  | to hang, droop, sink, be left behind
안정 | 安定, 安靜 | stability;<div>calm, rest</div>
해소 | 解消 | solution, relief, settlement
들통이 나다 |  | to be detected, be revealed
프러포즈 |  | marriage proposal
수면제 | 睡眠劑 | sleeping pills
말다툼 |  | quarrel, dispute
터놓다 |  | to open (up)
콧노래 |  | humming
꾸중 |  | scolding
거래처 | 去來處 | customer, account
보수 | 報酬, 補修 | pay, wages;<div>repair</div>
회상하다 | 回想 | to recall, recollect
흥미진진하다 | 興味津津 | to be exciting, absorbing
실감하다 | 實感 | to feel, realize
실화 | 實話 | true story, real life story
뭉클하다 |  | to be touching
윙크하다 |  | to wink
핸드볼 |  | handball
악필 | 惡筆 | poor handwriting
위축되다 | 萎縮 | to wither, shrink
효도하다 | 孝道 | to be a good son/daughter, devoted to one's parents
보행자 | 步行者 | pedestrian
버터 |  | butter
좌절하다 | 挫折 | to be frustrated, discouraged
주사위 |  | dice
물병 | -甁 | water bottle, pitcher
앞치마 |  | apron
줄넘기하다 |  | to jump rope
바비큐 |  | barbecue
솜사탕 | -沙糖 | cotton candy
트이다 |  | to get cleared, become better
이야깃거리 |  | subject, topic
매너 |  | manners
늦추다 |  | to postpone, loosen, ease
유모차 | 乳母車 | stroller
동화 | 童話, 同和 | fairy tale, children's story;<div>assimilation</div>
돌고래 |  | dolphin
위인 | 偉人, 爲人 | great man;<div>nature, disposition</div>
빗나가다 |  | to miss, wander (off)
반찬거리 | 飯饌- | groceries, materials for making side dishes
새까맣다 |  | to be deep black
볼거리 |  | spectacle, attraction
강연 | 講演 | lecture, speech
빨대 |  | straw
사나이 |  | man
아우 |  | younger brother, younger sister
흐뭇하다 |  | to be pleased, satisfied, delighted
시연 | 試演 | demonstration, rehearsal
항복하다 | 降伏 | to surrender
어묵 | 魚- | fish cake
본색 | 本色 | one's true colors
기저귀 |  | diaper
웃어른 |  | senior citizen, elder
김치찌개 |  | kimchi stew
성묘하다 | 省墓 | to visit one's ancestral graves
신청자 | 申請者 | applicant
한국인 | 韓國人 | Korean
음원 | 音源 | sound source, online music
손실 | 損失 | loss
양해 | 諒解 | understanding, consent
고춧가루 |  | red-pepper paste
새콤하다 |  | to be sour, acidic
일과 | 日課 | daily tasks
방과 | 放課 | dismissal of class (when school is over for the day)
공연장 | 公演場 | concert hall, venue
쓸다 |  | to sweep
앞두다 |  | to have something ahead
면목 | 面目 | face, honor
빗자루 |  | broom
착용하다 | 着用 | to wear
출간하다 | 出刊 | to publish
염려 | 念慮 | worry, fear
대걸레 |  | mop
등교하다 | 登校 | to go to school
딱밤 |  | finger flick
반숙하다 | 半熟 | to be half-cooked, half-ripe
제자 | 弟子 | student, disciple
드럼 |  | drums
소인 | 小人, 消印 | child;<div>postmark</div>
발레 |  | ballet
어머님 |  | mother (hon.)
기말시험 | 期末試驗 | final exam
종이접기 |  | origami
끈끈하다 |  | to be sticky
침술 | 鍼術 | acupuncture
수다스럽다 |  | to be talkative
입히다 |  | to dress someone, cover
육아 | 育兒 | childcare, care of infants
배꼽 |  | navel
울타리 |  | fence
사고방식 | 思考方式 | way of thinking
단맛 |  | sweet taste
메기 |  | catfish
노비 | 奴婢 | slave, servant
뜰 |  | yard, garden
당연히 | 當然 | naturally, of course
마구 |  | hard, wildly, carelessly
미디어 |  | media
수상 | 首相 | prime minister
자랑스럽다 |  | to be proud
곳곳 |  | here and there, in several places
내지 | 乃至 | from .. to
정식 | 正式 | formal, official
망고 |  | mango
마술사 | 魔術師 | magician
뒤집다 |  | to turn over, turn inside out, reverse
양손 | 兩- | both hands
무용수 | 舞踊手 | showgirl
순식간에 | 瞬息間 | in the blink of an eye
둘레 |  | circumference
자물쇠 |  | lock
대견하다 |  | to be proud
갯벌 |  | mud flat
계약직 | 契約職 | contract worker
악어 | 鰐魚 | crocodile, alligator
데굴데굴 |  | rolling (continuously)
튀다 |  | to spatter, bounce
뒤집히다 |  | to be turned over, be reversed
동화책 | 童話冊 | fairy tale book
포즈 |  | pose
흉내 |  | imitation
몸짓 |  | gesture
발표회 | 發表會 | recital, performance, conference
용건 | 用件 | business, matter of business
차단하다 | 遮斷 | to block, shut off
사채 | 私債 | private loan
끌리다 |  | to drag, be drawn (to)
불쑥 |  | unexpectedly, abruptly
분가하다 | 分家 | to move out of one's parents' house
오만하다 | 傲慢 | to be arrogant
실장 | 室長 | chief, head of department
날리다 |  | to lose, make fly
산소 | 酸素, 山所 | oxygen;<div>grave, tomb</div>
질 | 質 | quality
부작용 | 副作用 | side effect
먹방 |  | eating show
쑥스럽다 |  | to be shy, bashful, embarrassed
묘하다 | 妙 | to be strange, weird
논술하다 | 論述 | to state, discuss
사로잡다 |  | to capture
가시 |  | thorn
더듬이 |  | feelers, antenna
샘물 |  | spring water
물감 |  | paint, dye, color
스케치북 |  | sketchbook
총명하다 | 聰明 | to be intelligent, bright
펄쩍펄쩍 |  | jumping up and down
운동회 | 運動會 | sports day
회전목마 | 回轉木馬 | carousel
낙지 |  | small octopus
유교 | 儒敎 | Confucianism
과학적 | 科學的 | scientific
환기 | 換氣 | ventilation
탐험하다 | 探險 | to explore
낙타 | 駱駝 | camel
건방지다 |  | to be impertinent, arrogant
잔소리하다 |  | to nag, scold, nitpick
부정적 | 否定的 | negative
저물다 |  | to get dark
보일러 |  | boiler
꼭꼭 |  | thoroughly, firmly
보약 | 補藥 | tonic, restorative herbal medicine
도끼 |  | ax
연못 | 蓮― | pond
크림 |  | cream
거북 |  | turtle
우동 | udon[饂飩] | thick white noodles
구급차 | 救急車 | ambulance
체형 | 體型 | body type
상어 |  | shark
공통되다 | 共通 | to be common
보배 |  | treasure
베풀다 |  | to give (generously)
공룡 | 恐龍 | dinosaur
넘나들다 |  | to come and go often
화단 | 花壇, 畵壇 | flower bed;<div>the art world</div>
고소하다 |  | to be savory, aromatic;<div>to gloat, show joy</div>
드러눕다 |  | to lie down, sprawl
씨름 |  | wrestling
알아내다 |  | to discover, figure out
멸치 |  | anchovy
마녀 |  | witch
기특하다 | 奇特 | to be admirable, commendable
미끄러지다 |  | to slide, slip
꺾다 |  | to break off, snap
뛰어다니다 |  | to run around
저금통 | 貯金筒 | coin bank
색종이 | 色― | colored paper
일기장 | 日記帳 | diary
이자 | 利子 | interest
등산화 | 登山靴 | hiking boots
분명하다 | 分明 | to be clear, obvious
현지 | 現地 | the actual place, the very spot
넓히다 |  | to widen, expand
얹다 |  | to put on, place
털실 |  | woolen yarn
꽃무늬 |  | floral design
질기다 |  | to be tough, durable, persistent, tenacious
감기다 |  | to be rolled, wound around;<div>to shut one's eyes;</div><div>to wash one's hair</div>
말랑말랑하다 |  | to be soft, tender
세뱃돈 |  | New Year's cash gifts
고립 | 孤立 | isolation
덤비다 |  | to come at, attack
리본 |  | ribbon
벗겨지다 |  | to come off, fall off, get removed
병아리 |  | chick
진동하다 | 振動 | to vibrate
자극하다 | 刺戟 | to stimulate, arouse
조르다 |  | to pester, nag;<div>to tighten</div>
소형차 | 小型車 | compact car
징그럽다 |  | to be gross, nasty, creepy
배식하다 | 配食 | to distribute [hand out] food
향기롭다 | 香氣 | to be fragrant, aromatic
대추 |  | jujube (dates)
선발하다 | 選拔 | to select, pick out
우르르 |  | all together, all over
흥 | 興 | fun, joy
구슬 |  | bead, marble
연약하다 | 軟弱 | to be weak, delicate, frail
비비다 |  | to rub; to mix
자금 | 資金 | money, capital
샐러드 |  | salad
헬멧 |  | helmet
낙서하다 | 落書 | to scribble, doodle
차례차례 | 次例次例 | one by one
운전기사 | 運轉技士 | driver
안전띠 | 安全- | safety belt
뚜껑 |  | lid, cover
삼키다 |  | to swallow
송아지 |  | calf
시외버스 | 市外bus | intercity bus
정성 | 精誠 | sincerity, devotion
마음씨 |  | nature, temper
내버리다 |  | to throw away, not care
효녀 | 孝女 | devoted daughter
양치기 | 羊- | shepherd
정승 | 政丞 | minister
누렇다 |  | to be yellow
귓속말 |  | whisper
걸레질 |  | mopping, wiping
그런대로 |  | such as it is
재활용 | 再活用 | recycling
재활용품 | 再活用品 | recyclable materials
플라스틱 |  | plastic
틀 |  | frame, cast
녹이다 |  | to melt, dissolve
씨앗 |  | seed
오늘날 |  | today, present
초가집 | 草家- | thatched-roof house
기와집 |  | tile-roofed house
우물 |  | well
시냇가 |  | bank of a stream
세미나 |  | seminar
복사기 | 複寫機/複寫器 | copy machine
재수하다 | 再修 | to cram to repeat a college entrance exam
성금 | 誠金 | donation, contribution
불우하다 | 不遇 | to be underprivileged, disadvantaged
굶주리다 |  | to starve, go hungry
달라붙다 |  | to stick, cling to
몰려오다 |  | to come in flocks, swarm in
시행착오 | 施行錯誤 | trial and error
적당히 | 適當 | suitably, appropriately, moderately
진출하다 | 進出 | to advance (into), enter
슬픔 |  | sorrow, sadness
아무렇지도 않다 |  | to be indifferent, unconcerned;<div>to be safe, all right</div>
이튿날 |  | the next day
참기름 |  | sesame oil
재물 | 財物 | wealth, riches
날달걀 |  | raw egg
큐브 |  | Rubik's cube
맞서다 |  | to stand opposite someone, stand against, oppose
정치적 | 政治的 | political
날아오다 |  | to fly
담임 | 擔任 | home room teacher
도중에 | 途中 | on the way
각국 | 各國 | every country
연도 | 年度 | year
다수 | 多數 | large number, majority
스님 |  | monk, priest
엉뚱하다 |  | to be absurd, unreasonable, unrelated
조각 | 彫刻 | piece, slice;<div>sculpture</div>
푸른색 |  | blue, green
무시무시하다 |  | to be terrible, horrible
붉은색 |  | red
요가 |  | yoga
단무지 |  | pickled radish
회초리 |  | cane
훈장 | 勳章, 訓長 | medal, badge;<div>(traditional) teacher</div>
사용자 | 使用者 | user, consumer
논의하다 | 論議 | to discuss, debate
파란색 |  | blue
반하다 | 反 | to fall in love, be charmed, lose one's heart;<div>to be against</div>
전화위복 | 轉禍爲福 | blessing in disguise
조심스럽다 |  | to be careful, cautious
피시 |  | PC (personal computer)
흘러나오다 |  | to flow out
간단히 | 簡單 | simply, briefly
모니터 |  | monitor
흘러가다 |  | to flow, run
내려다보다 |  | to look down, overlook
일주일 | 一週日 | one week
오래오래 |  | for a long time, forever
그런 |  | such, that kind of
이곳 |  | this place, here
맛없다 |  | to be tasteless, unsavory
다양성 | 多樣性 | diversity
당황스럽다 | 唐慌 | to be embarrassed, awkward, flustered
약혼자 | 約婚者 | fiancé, fiancée
이후 | 以後 | after this, in the future
무관하다 | 無關 | to be unrelated, irrelevant
곧바로 |  | at once, straight
형부 | 兄夫 | the husband of a girl's elder sister
지점 | 地點, 支店 | spot, point, place;<div>branch office</div>
내려놓다 |  | to put down, take down
안쪽 |  | the inside, the inner part
오가다 |  | to come and go
양념 |  | spices and condiments
교통사고 | 交通事故 | traffic accident
뺨 |  | cheek
여름철 |  | summertime
꼭대기 |  | the top
매주 | 每週 | every week
몸무게 |  | weight
심경 | 心境 | mind, feelings
온돌 | 溫突 | the Korean floor heating system
깨뜨리다 |  | to break, smash, violate
식성 | 食性 | taste, preference
기부하다 | 寄附 | to donate
무식하다 | 無識 | to be ignorant
활기 | 活氣 | energy, activity
쇼 |  | show
카운터 |  | register, counter
콩나물 |  | bean sprouts
거짓 |  | false, falsehood, fabrication
어쩐지 |  | somehow
규칙적 | 規則的 | regular
밥그릇 |  | rice bowl
발가락 |  | toe
운전자 | 運轉者 | driver
나뭇잎 |  | leaf
넓어지다 |  | to widen
미팅 |  | blind date
신문지 | 新聞紙 | newspaper
자라나다 |  | to grow
가이드 |  | tour guide, guide book
밤늦다 |  | to be late at night
멋 |  | stylishness, elegance
앞길 |  | the road ahead, outlook
두세 |  | two or three
보리 |  | barley
반칙 | 反則 | foul, violation
마음껏 |  | as much as one likes
보석 | 寶石, 保釋 | jewel;<div>bail</div>
귀하다 | 貴 | to be noble, rare, precious
시무룩하다 |  | to be sullen, displeased
술잔 | -盞 | wine glass, shot glass
신문사 | 新聞社 | newspaper company
이웃집 |  | house next door
부러워하다 |  | to envy, be envious
이것저것 |  | this and that
가져다주다 |  | to bring, deliver
사무 | 事務 | office work
기력 | 氣力 | energy
챔피언 |  | champion
겨울철 |  | winter
골프장 | golf場 | golf course
달빛 |  | moonlight
뒷산 | -山 | the mountain behind
산속 | 山- | deep in a mountain
식초 | 食醋 | vinegar
필름 |  | film
월드컵 |  | World Cup
잘살다 |  | to be rich, live affluently
졸업생 | 卒業生 | graduate
볼일 |  | business, things to do
구실 | 口實 | duty, obligation;<div>excuse, pretext</div>
부끄러움 |  | shyness, bashfulness, shame
받침 |  | support, prop, final consonant
위쪽 |  | the upper direction
택하다 | 擇 | to choose, select
일회용 | 一回用 | disposable
차남 | 次男 | second eldest son
팬티 |  | panties, briefs
개나리 |  | forsythia
골목길 |  | alley
사랑스럽다 |  | to be lovely, adorable
술병 | -甁 | liquor bottle
책가방 |  | student backpack
다녀가다 |  | to drop by
발등 |  | top of the foot
슬퍼하다 |  | to feel sad
앞쪽 |  | the front
왼발 |  | left foot
소용없다 | 所用 | to be useless
술자리 |  | drinking party
묻히다 |  | to be buried, concealed;<div>to smear</div>
오른발 |  | right foot
한국적 | 韓國的 | Korean
감 | 減 | persimmon;<div>feeling</div>
네거리 |  | four-way intersection
먹히다 |  | to be eaten, be swallowed
무더위 |  | very hot and humid weather
박스 |  | box
밤중에 |  | in the middle of the night
수행하다 | 遂行 | to carry out, do
낭만적 | 浪漫的 | romantic
부활하다 | 復活 | to revive, bring back, rise from the dead
약탈하다 | 掠奪 | to plunder, loot, pillage
버튼 |  | button
손뼉 |  | palm
자판기 | 自販機 | vending machine
저녁때 |  | evening
적어지다 |  | to decrease, drop
테스트 |  | test
가로 |  | width
부잣집 | 富者- | rich family
섭씨 | 攝氏 | Celsius
캐다 |  | to dig up
짜릿하다 |  | to be thrilling, exhilarating
선하다 | 善 | to be vivid, fresh;<div>to be nice</div>
양배추 |  | cabbage
읽히다 |  | to be read;<div>to make someone read</div>
깜빡 |  | with a flash
시부모 | 媤父母 | parents of one's husband
초청장 | 招請狀 | invitation
세로 |  | length (vertical)
종이컵 |  | paper cup
독일어 | 獨逸語 | German
축구공 |  | soccer ball
메일 |  | mail
시아버지 |  | father-in-law (of a woman)
말레이시아 |  | Malaysia
갈비탕 |  | beef rib soup
우편함 | 郵便函 | mailbox
큰절 |  | deep bow
부쩍 |  | greatly, dramatically
개그 |  | jokes, humor
동굴 | 洞窟 | cave
용도 | 用途 | use, purpose
허무 | 虛無 | futility, emptiness
강렬하다 | 强烈 | to be strong, intense
책임감 | 責任感 | sense of responsibility
함성 | 喊聲 | shout, yell (by many people)
살금살금 |  | stealthily, quietly
일교차 | 日較差 | daily temperature range
찜질하다 |  | to apply a hot pack
속셈 |  | secret plan, hidden intention
개입하다 | 介入 | to intervene, interfere
매달리다 |  | to hang, cling to
살림 |  | household, housekeeping
살찌다 |  | to gain weight
강점 | 强點, 强占 | strengths;<div>occupation</div>
손잡다 |  | to hold hands
손대다 |  | to touch
도박하다 | 賭博 | to gamble
향 | 香 | scent
향상되다 | 向上 | to improve
무능 | 無能 | incompetence
명당 | 明堂 | ideal spot
본인 | 本人 | person in question, oneself
노선 | 路線 | route, line
자기소개 | 自己紹介 | self-introduction
분노 | 憤怒 | rage, fury
그분 |  | he/she
제거하다 | 除去 | to remove, eliminate, get rid of
소화제 | 消化劑 | digestive medicine
소득 | 所得 | income, profit
정기 | 定期, 精氣 | fixed interval, period;<div>spirit, energy</div>
덩어리 |  | lump, chunk
동기 | 動機, 同期, 同氣 | motive;<div>same joining time;</div><div>sibling</div>
부위 | 部位 | part, region
인적 | 人的 | human
소속되다 | 所屬 | to belong to, be affiliated
숙박하다 | 宿泊 | to stay the night
하숙비 | 下宿費 | boarding expenses
엄숙하다 | 嚴肅 | to be solemn, somber
승낙하다 | 承諾 | to agree, consent, approve
입시 | 入試 | entrance exam
막상 |  | in reality
낯익다 |  | to be familiar
짐승 |  | animal, beast
다루다 |  | to handle, treat
막막하다 | 漠漠 | to be vast, boundless
저하 | 低下, 邸下 | fall, decline;<div>your highness</div>
무인도 | 無人島 | deserted island
헤엄치다 |  | to swim
개운하다 |  | to be simple, refreshing, to feel refreshed
지혈하다 | 止血 | to stop the bleeding
사색하다 | 思索 | to contemplate, meditate
너구리 |  | racoon
치유하다 | 治癒 | to heal, cure
묵묵히 | 默默 | silently, not saying a word
주년 | 週年 | anniversary
감쪽같다 |  | to be perfect, just like before
엽기적 | 獵奇的 | bizarre
우발적 | 偶發的 | accidental
초행 | 初行 | first trip, first visit
맨발 |  | bare foot
모금 | 募金 | fund-raising;<div>sip</div>
과감하다 | 果敢 | to be bold, daring
중심지 | 中心地 | center, capital
내장 | 內臟, 內裝 | internal organs;<div>interior decoration</div>
느슨하다 |  | to be loose
갈대 |  | reed
간간이 | 間間- | occasionally
대피하다 | 待避 | to evacuate, take shelter
강인하다 | 强靭 | to be tough, strong, tenacious
경계 | 境界, 警戒 | boundary;<div>guard, caution</div>
따지다 |  | to question, nitpick, calculate
채용하다 | 採用 | to hire, adopt
유도하다 | 誘導 | to induce, guide, lead
변신 | 變身 | transformation
출동하다 | 出動 | to go into action
근심 |  | worry, concern
깨물다 |  | to bite
꼬집다 |  | to pinch, pinpoint
하염없이 |  | absent-mindedly, endlessly
어업 | 漁業 | fishing industry
광업 | 鑛業 | mining industry
기원 | 起源, 紀元, 祈願 | origin;<div>prayer, wish</div>
근원 | 根源 | root, source
출석하다 | 出席 | to attend, be present
조퇴하다 | 早退 | to leave early (school or work)
구경꾼 |  | bystander, onlooker
폭죽 | 爆竹 | firecracker
물체 | 物體 | object
본받다 | 本 | to emulate
순대 |  | Korean sausage
야시장 | 夜市場 | night market
팝콘 |  | popcorn
데려가다 |  | to take someone away
동문 | 同門, 東門 | alumni;<div>East gate</div>
야영 | 野營 | camping
틈틈이 |  | at each gap, in spare moments
소설책 | 小說冊 | novel
병문안하다 | 病問安 | to visit a sick person
체온 | 體溫 | body temperature
발명 | 發明 | invention
조종사 | 操縱士 | pilot
조 | 組, 兆 | group;<div>trillion</div>
장기 | 長技, 長期, 臟器 | specialty, talent;<div>long term;</div><div>internal organ</div>
사회자 | 司會者 | host, moderator
설 | 說 | Lunar New Year's Day;<div>theory</div>
정가 | 定價 | normal price, original price
헌책 | -冊 | used book
합승하다 | 合乘 | to share a car or a cab
민폐 | 民弊 | nuisance, inconvenience
여성적 | 女性的 | feminine
마루 |  | floor
하숙방 | 下宿房 | rented room
쫓아다니다 |  | to follow, chase
증권 | 證券 | stocks, bonds, securities
항공료 | 航空料 | airfare
회담 | 會談 | talks, meeting
덜다 |  | to lessen, lighten
캥거루 |  | kangaroo
간 | 肝 | saltiness;<div>liver</div>
서양인 | 西洋人 | Westerner
자질 | 資質 | talent, quality
돈가스 |  | tonkatsu (Japanese pork cutlet)
구수하다 |  | to smell or taste good
발효되다 | 發效, 醱酵 | to come into effect;<div>to be fermented</div>
식당가 | 食堂街 | food street
잡화 | 雜貨 | miscellaneous goods
매장 | 賣場, 埋葬 | store;<div>burial</div>
주류 | 主流, 酒類 | mainstream;<div>liquor</div>
찢어지다 |  | to be torn, ripped
더러워지다 |  | to become dirty, get soiled
광경 | 光景 | scene, sight
한약 | 韓藥 | herbal medicine
서재 | 書齋 | study, library
반창고 | 絆瘡膏 | Band-Aid
예물 | 禮物 | wedding present
피로연 | 披露宴 | reception
뒤풀이 |  | after-party, entertainment
반상회 | 班常會 | neighborhood meeting
보석상 | 寶石商 | jeweler
하차하다 | 下車 | to get off
승강장 | 乘降場 | platform
역무실 | 驛務室 | station office
반대쪽 | 反對- | the other side
구간 | 區間 | section
장애인 | 障礙人 | disabled person
전용 | 專用 | exclusive use
해저 | 海底 | the sea bottom
위생 | 衛生 | hygiene, sanitation
개업식 | 開業式 | opening ceremony
올여름 |  | this summer
최연소 | 最年少 | the youngest
여행가 | 旅行家 | professional traveler
화상 | 火傷, 畵像 | burn;<div>picture, image</div>
흥얼거리다 |  | to hum
오케스트라 |  | orchestra
구절 | 句節 | phrase, paragraph
하늘거리다 |  | to sway, flutter
해초 | 海草 | seaweed
이용료 | 利用料 | charge, fee
통역사 | 通譯士 | interpreter
이색적 | 異色的 | unique, unusual
갸름하다 |  | to be slender, narrow
보조 | 補助 | assistance
생머리 |  | straight hair, natural hair
곱슬머리 |  | curly hair
체격 | 體格 | build, frame
눈가 |  | eye rim
옆구리 |  | side
덜렁대다 |  | to be careless, restless
정반대 | 正反對 | complete opposite
채식 | 菜食 | vegetarian diet
패스트푸드 |  | fast food
편식하다 | 偏食 | to eat only what one wants
식습관 | 食習慣 | eating habits
비법 | 秘法 | secret
선정하다 | 選定 | to select, choose
주도하다 | 主導 | to lead
높아지다 |  | to rise, get higher
요구르트 |  | yogurt
그리스 |  | Greece
올리브유 |  | olive oil
육식 | 肉食 | meat diet
탄산음료 | 炭酸飮料 | soda
콜록콜록 |  | coughing
단백질 | 蛋白質 | protein
면역 | 免疫 | immunity
사망 | 死亡 | death
출입국 | 出入國 | coming into or leaving a country, immigration
통화 | 通貨 | currency
평상시 | 平常時 | ordinary times
보험료 | 保險料 | insurance premium
가로막다 |  | to block, obstruct
통행 | 通行 | passing (through)
인명 | 人命 | human life
방지하다 | 防止 | to prevent
일치하다 | 一致 | to agree, be in agreement
엄격하다 | 嚴格 | to be strict, rigid
수입품 | 輸入品 | imported goods
완치되다 | 完治 | to heal completely
식욕 | 食慾 | appetite
심판 | 審判 | judgement, referee
패 | 敗, 牌 | loss;<div>group</div>
관람객 | 觀覽客 | spectator
초창기 | 草創期 | initial stage
권장하다 | 勸奬 | to encourage, recommend
뿜다 |  | to spout, emit, gush
공동체 | 共同體 | community
엮다 |  | to weave, tie together, compile
불이익 | 不利益 | disadvantage
참석자 | 參席者 | attendee, participant
단가 | 單價 | unit price
특수 | 特殊 | being special, unusual
꼴 |  | look, state, sight
위원회 | 委員會 | committee, commission
기구 | 器具, 機構 | utensil, tool;<div>organization</div>
근거 | 根據 | grounds, base
형성되다 | 形成 | to be formed
취업률 | 就業率 | employment rate
수치 | 數値, 羞恥 | numerical value;<div>shame, humiliation</div>
보태다 |  | to add, supplement
객관적 | 客觀的 | objective
기울이다 |  | to lean, tilt, devote
더불다 |  | to do together
논쟁 | 論爭 | dispute, argument
토론회 | 討論會 | debate
후반전 | 後半戰 | second half
연장전 | 延長戰 | overtime
종목 | 種目 | event, discipline, item
당숙 | 堂叔 | father's cousin
소프트웨어 |  | software
영역 | 領域 | territory, domain
구속하다 | 拘束 | to arrest, restrain
이념 | 理念 | ideology, philosophy
치르다 |  | to pay, settle, experience
아슬아슬하게 |  | narrowly, by an inch
복구하다 | 復舊 | to restore
유서 | 遺書, 由緖 | (last) will, suicide note;<div>history</div>
이체하다 | 移替 | to transfer, wire
