차 | 茶, 車 | tea;<div>car</div>
그래 |  | yes, okay
입 |  | mouth
하늘 |  | the sky
그림 |  | drawing, painting
교수 | 敎授 | professor;<br>teaching, instruction
아빠 |  | dad
공짜 | 空- | free (of charge)
일등 | 一等 | the first class;<div>the first place</div>
뛰다 |  | to jump;<div>to run, dash</div>
대본 | 臺本 | script, screenplay
가슴 |  | chest
매우 |  | very, so, much
오르다 |  | to rise, go up
지역 | 地域 | area, region
갑자기 |  | suddenly
왕 | 王 | king
가을 |  | autumn
녹음하다 | 錄音 | to record (sound etc.)
미리 |  | in advance
부탁하다 | 付託 | to request, ask a favor
지각하다 | 遲刻, 知覺 | to be late (for something);<br>to perceive, sense, be aware
맨날 |  | always, every day (<i>less formal</i>)
역시 | 亦是 | too, also;<div>as expected;<br /><div>still</div></div>
정보 | 情報 | information
놀라다 |  | to be surprised, astonished, startled
죄송하다 | 罪悚 | to be sorry, feel guilty
저희 |  | we, our
이미 |  | already, yet;<div>previously</div>
꼭 |  | certainly, for sure
그리다 |  | to draw a picture
하지만 |  | but, though
잘하다 |  | to do well, be skillful
학년 | 學年 | school year, grade
이해하다 | 理解 | to understand, grasp
그렇게 |  | so, like that
출장 | 出張·出場 | business trip
아까 |  | a while ago
싸우다 |  | to argue, fight
숨다 |  | to hide, disappear
발 |  | foot
살 |  | years of age (<i>count.</i>);<div>flesh, muscle</div>
이유 | 理由 | reason, cause
지내다 |  | to spend time;<div>to pursue;</div><div>to associate with</div>
예 | 例 | example;<div>yes</div>
아저씨 |  | mister
옛날 |  | old times, the past
경찰 | 警察 | police, police officer
건물 | 建物 | building
자연 | 自然 | nature
어른 |  | adult;<div>one's senior</div>
팀 |  | team
담배 |  | cigarette
숨 |  | breath, breathing
걸다 |  | to hang, suspend;<div>to speak to, call</div>
다리 |  | leg;<div>bridge</div>
해 | 害 | sun;<div>year;<div>harm</div></div>
언제나 |  | always;<div>usually</div>
구하다 | 求 | to look for, seek;<div>to rescue, save</div>
주소 | 住所 | address, residence
파랗다 |  | to be blue
초록색 | 草綠色 | green
비다 |  | to be empty, vacant
친절하다 | 親切 | to be kind, considerate
돌아오다 |  | to come back, return
최고 | 最高 | the best, the highest, top
회비 | 會費 | membership fee
사회 | 社會 | society, community
교회 | 敎會 | church
존댓말 | 尊待- | polite/formal language (speech)
에어컨 |  | air conditioner
전화하다 | 電話 | to make a phone call
달러 |  | dollar
과자 | 菓子 | cookie, snack
어린이 |  | young child, kid
닦다 |  | to wipe;<div>to polish</div>
곧장 |  | straight, directly
앞으로 |  | from now on
아담하다 | 雅淡·雅澹 | <div>to be neat, tidy;</div><div>to be petite</div>
부럽다 |  | to be jealous, envious
포도주 | 葡萄酒 | wine
안녕히 | 安寧 | peacefully;<div>safely</div>
문자 | 文章 | letters, alphabet;<div>text message</div>
굽다 |  | to bake, roast, toast;<div>to be crooked, be bent</div>
강아지 |  | puppy
지나가다 |  | to go through, pass
기차 | 汽車 | train
말씀하시다 |  | to speak, talk (hon.)
괜찮다 |  | to be okay
눈물 |  | tear
주제 | 主題 | subject, theme, topic
형제 | 兄弟 | brothers, siblings
자매 | 姉妹 | sisters
순간 | 瞬間 | moment, instant
초등학교 | 初等學校 | elementary school
호수 | 號數 | lake;<div>number (of a house or room)</div>
숲 |  | forest
속하다 | 屬 | to belong to
귀 |  | ear
미터 |  | meter
남동생 | 男-- | younger brother
물어보다 |  | to ask, question
돌아가다 |  | to go back, return;<div>to work, operate</div>
잊어버리다 |  | to forget (completely)
아파트 |  | apartment building
성 | 姓, 城, 性 | family name;<div>castle;</div><div>gender</div>
공기 | 空氣, 空器 | air;<div>bowl</div>
대다 |  | to place, put;<div>to feel, touch</div>
눌리다 |  | to be squeezed, be pressed;<div>to be oppressed</div>
누르다 |  | to press down, push down, to suppress
게임 |  | game
내려오다 |  | to come down, get off
뉴스 |  | news
안다 |  | to hug, hold
센티미터 |  | centimeter
팔 |  | arm
어깨 |  | shoulder
과 | 科, 課 | department;<div>lesson, chapter</div>
즐겁다 |  | to be pleasant, joyful, cheerful, happy
메시지 |  | message
내용 | 內容 | contents, substance
단어 | 單語 | word, vocabulary
영화관 | 映畫館 | movie theater
긴장하다 | 緊張 | to be nervous, be tense
들다 |  | to get in, be in;<div>to carry, hold;</div><div>to lift, raise</div>
아무도 |  | no one, nobody
아무데나 |  | any place, anywhere
식품 | 食品 | food items, groceries
간식 | 間食 | snack
외식하다 | 外食 | to dine out
후식 | 後食 | dessert
걸어가다 |  | to walk (somewhere)
똑같다 |  | to be exactly the same
실수 | 失手 | mistake, error
요리사 | 料理師 | cook, chef
적 | 敵 | enemy, opponent, rival
그릇 |  | bowl, container
